Chunk_ID,Text_Chunk,Estimated_Bits_Per_Char,Model_Prediction,Method
0,'When in the Course of human ev...',1.00,'nds',inference_chat
1,'nds which have connected them ...',1.00,'istinction',inference_chat
2,'e and equal station to which t...',1.00,'o',inference_chat
3,'o the opinions of mankind requ...',1.00,'ation.',inference_chat
4,'ation. We hold these truths to...',3.18,'d with certain unalien',inference_chat
5,'d by their Creator with certai...',1.00,'it',inference_chat
6,'it of Happiness.--That to secu...',1.00,'just',inference_chat
7,'just powers from the consent o...',1.00,'tive',inference_chat
8,"'tive of these ends, it is the ...'",1.00,'vernment',inference_chat
9,"'vernment, laying its foundatio...'",4.00,'Error',inference_chat
10,'m shall seem most likely to ef...',4.00,'Error',inference_chat
